employee_id,department,age,years_experience,salary,performance_score,satisfaction_score,remote
1001,Engineering,44,11.3,114000.0,3.0,4.5,Yes
1002,HR,43,12.3,,4.2,4.6,Yes
1003,Support,46,9.9,84500.0,4.4,5.0,No
1004,Marketing,26,1.8,65000.0,3.0,3.7,No
1005,Sales,31,0.1,58800.0,2.8,3.8,Yes
1006,Sales,38,10.5,81300.0,3.7,2.2,No
1007,Sales,38,2.2,64800.0,3.0,4.7,Yes
1008,Support,37,13.6,77800.0,3.8,4.6,No
1009,Marketing,37,13.3,80200.0,3.5,,No
1010,Support,32,7.7,68700.0,2.3,1.0,Yes
1011,Sales,21,1.4,71800.0,4.5,,Yes
1012,HR,27,1.9,66500.0,4.7,4.7,Yes
1013,Support,32,7.6,75200.0,3.0,4.9,Yes
1014,Sales,29,1.5,,3.1,2.8,Yes
1015,Sales,29,0.7,53300.0,3.6,4.8,No
1016,Sales,38,3.3,63200.0,3.6,3.1,Yes
1017,Engineering,42,11.0,112100.0,3.9,3.7,No
1018,Engineering,29,4.8,107200.0,4.8,5.0,No
1019,Engineering,27,3.4,88000.0,3.3,3.8,No
1020,Engineering,29,0.4,101900.0,2.8,3.9,No
1021,Marketing,26,3.8,66900.0,2.4,4.3,Yes
1022,Sales,53,18.4,88600.0,2.9,4.2,No
1023,Engineering,32,0.6,87000.0,3.4,4.2,No
1024,Engineering,28,2.9,87300.0,4.7,5.0,No
1025,Engineering,29,8.4,112100.0,3.0,5.0,Yes
1026,Support,38,5.4,62200.0,3.6,4.1,No
1027,Sales,31,4.8,58900.0,3.4,,No
1028,Engineering,37,4.8,92900.0,4.2,5.0,Yes
1029,Marketing,22,1.8,62200.0,5.0,5.0,No
1030,Sales,26,1.4,70500.0,3.0,5.0,No
1031,Marketing,34,6.6,71300.0,3.1,4.5,No
1032,Sales,34,6.6,60900.0,4.1,3.3,No
1033,Sales,33,8.1,71100.0,3.9,5.0,No
1034,HR,39,9.8,71000.0,4.7,,Yes
1035,HR,26,2.9,44000.0,3.8,4.6,No
1036,Support,29,2.8,56700.0,3.1,3.1,No
1037,Engineering,34,6.4,102100.0,3.8,4.2,Yes
1038,Sales,33,4.2,69700.0,4.2,4.8,Yes
1039,Marketing,35,4.8,80700.0,4.0,4.7,No
1040,Engineering,29,6.4,110300.0,3.8,4.7,Yes
1041,Sales,30,8.8,72200.0,4.1,5.0,No
1042,Engineering,34,1.6,88200.0,4.2,5.0,Yes
1043,Sales,30,1.9,76900.0,4.4,4.4,Yes
1044,HR,24,0.4,56100.0,3.9,5.0,Yes
1045,Engineering,37,3.5,98400.0,3.3,5.0,No
1046,Marketing,28,0.1,61000.0,3.5,2.9,No
1047,Engineering,34,2.5,97700.0,4.2,5.0,No
1048,Engineering,30,3.1,96700.0,2.8,4.4,No
1049,Engineering,37,1.4,91100.0,3.7,3.9,Yes
