student_id,study_group,study_mode,study_hours_per_week,sleep_hours_per_night,attendance_pct,confidence_rating,exam_score,passed
1,A,Instructor-led,8.5,5.1,60.5,9.0,74.8,Yes
2,A,Instructor-led,12.3,7.0,85.8,9.0,75.5,No
3,B,Self-paced,12.8,8.8,69.6,9.1,64.0,Yes
4,B,Instructor-led,10.0,5.8,64.0,6.9,53.0,No
5,B,Self-paced,11.3,7.1,70.4,9.7,72.6,Yes
6,B,Self-paced,17.8,5.3,97.9,9.0,100.0,Yes
7,A,Self-paced,18.4,5.5,83.2,10.0,95.4,No
8,B,Instructor-led,8.9,7.1,80.7,9.2,69.2,Yes
9,C,Instructor-led,11.2,6.3,78.9,8.5,83.0,Yes
10,C,Instructor-led,10.5,7.2,88.4,8.7,62.1,Yes
11,B,Self-paced,10.9,8.1,86.8,9.0,78.0,Yes
12,A,Instructor-led,18.1,5.1,61.8,8.5,79.1,No
13,C,Instructor-led,14.7,5.7,74.8,10.0,90.7,Yes
14,C,Self-paced,17.0,6.6,69.8,9.8,76.3,Yes
15,A,Self-paced,19.1,9.3,80.4,10.0,96.7,Yes
16,B,Self-paced,10.2,6.2,77.0,10.0,72.2,Yes
17,A,Instructor-led,11.3,6.0,53.2,8.8,67.1,No
18,A,Instructor-led,12.2,7.1,91.8,9.3,84.1,No
19,A,Self-paced,16.1,9.1,80.9,10.0,82.9,Yes
20,A,Self-paced,11.6,5.9,56.4,8.9,80.0,Yes
21,C,Instructor-led,14.6,6.2,91.7,9.9,81.9,Yes
22,C,Instructor-led,16.7,6.6,79.2,9.4,67.3,Yes
23,A,Instructor-led,16.7,7.5,83.4,10.0,97.6,Yes
24,A,Instructor-led,13.8,9.2,78.0,9.7,89.2,No
25,A,Instructor-led,8.8,5.1,79.6,9.3,72.4,No
26,A,Self-paced,5.8,,71.4,9.1,71.2,No
27,B,Instructor-led,16.5,6.8,57.2,9.1,84.5,Yes
28,B,Instructor-led,13.8,7.2,69.9,6.7,69.7,No
29,A,Self-paced,8.3,3.9,79.7,7.6,50.8,Yes
30,B,Self-paced,10.0,5.9,78.0,7.6,62.0,Yes
31,B,Instructor-led,10.2,7.7,85.4,9.5,70.4,Yes
32,C,Instructor-led,5.3,6.0,76.3,8.3,64.4,Yes
33,B,Self-paced,13.0,7.2,49.9,8.5,58.2,No
34,B,Instructor-led,8.9,6.8,86.4,9.0,62.9,No
35,B,Instructor-led,10.8,7.4,67.5,10.0,81.8,Yes
36,C,Instructor-led,15.0,7.1,60.9,8.4,71.0,Yes
37,C,Self-paced,11.6,6.9,73.4,10.0,66.7,Yes
38,A,Instructor-led,14.2,8.1,60.6,9.3,67.2,Yes
39,A,Instructor-led,13.7,5.9,81.7,10.0,92.2,Yes
40,C,Self-paced,12.1,6.8,65.9,8.7,78.2,Yes
41,A,Self-paced,12.2,8.0,100.0,10.0,87.8,Yes
42,A,Self-paced,19.4,5.9,74.1,10.0,100.0,Yes
43,A,Instructor-led,11.3,6.2,70.4,9.9,79.0,Yes
44,A,Instructor-led,18.5,5.7,69.2,9.8,96.9,Yes
45,A,Self-paced,8.3,5.5,50.7,9.7,63.0,No
46,A,Instructor-led,14.9,9.0,66.5,10.0,84.9,Yes
47,C,Self-paced,12.7,7.2,67.9,9.2,78.7,Yes
48,C,Instructor-led,9.1,8.9,73.1,10.0,73.0,Yes
49,C,Instructor-led,1.4,7.5,50.0,6.4,36.0,Yes
50,B,Instructor-led,18.4,6.7,77.6,10.0,86.2,Yes
51,B,Self-paced,7.4,6.3,92.9,9.1,65.8,Yes
52,A,Instructor-led,8.1,6.9,71.9,8.8,59.7,No
